cell,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",1,0,0,1
"(3, 1)",1,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",0,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,0
"(10, 1)",1,0,0,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,0
"(13, 1)",1,0,0,1
"(14, 1)",1,0,1,0
"(15, 1)",1,0,0,1
"(16, 1)",0,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",1,0,1,0
"(19, 1)",1,0,0,1
"(20, 1)",1,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,0
"(23, 1)",1,0,0,1
"(24, 1)",0,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",0,0,1,0
"(27, 1)",1,0,0,1
"(28, 1)",0,0,1,1
"(29, 1)",1,0,1,1
"(30, 1)",0,0,1,0
"(31, 1)",1,0,0,1
"(32, 1)",0,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,0
"(37, 1)",1,0,0,1
"(38, 1)",1,0,1,1
"(39, 1)",0,0,1,0
"(40, 1)",1,0,0,1
"(41, 1)",0,0,1,1
"(42, 1)",1,0,1,1
"(43, 1)",1,0,1,0
"(44, 1)",1,0,0,1
"(45, 1)",1,0,1,1
"(46, 1)",0,0,1,1
"(47, 1)",1,0,1,0
"(48, 1)",1,0,0,1
"(49, 1)",1,0,1,0
"(50, 1)",1,0,0,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",0,0,1,1
"(54, 1)",0,0,1,1
"(55, 1)",0,0,1,1
"(56, 1)",1,0,1,1
"(57, 1)",0,0,1,1
"(58, 1)",0,0,1,1
"(59, 1)",0,0,1,1
"(60, 1)",1,0,1,0
"(61, 1)",1,0,0,1
"(62, 1)",0,0,1,1
"(63, 1)",0,0,1,1
"(64, 1)",1,0,1,0
"(65, 1)",0,0,0,1
"(66, 1)",1,0,1,0
"(67, 1)",1,0,0,1
"(68, 1)",1,0,1,1
"(69, 1)",0,0,1,0
"(70, 1)",1,0,0,1
"(71, 1)",1,0,1,0
"(72, 1)",1,0,0,1
"(73, 1)",0,0,1,1
"(74, 1)",1,0,1,1
"(75, 1)",0,0,1,1
"(76, 1)",1,0,1,0
"(77, 1)",1,0,0,1
"(78, 1)",0,0,1,0
"(79, 1)",1,0,0,1
"(80, 1)",0,0,1,1
"(81, 1)",1,0,1,0
"(82, 1)",1,0,0,1
"(83, 1)",0,0,1,1
"(84, 1)",0,0,1,1
"(85, 1)",1,0,1,0
"(86, 1)",1,0,0,1
"(87, 1)",1,0,1,1
"(88, 1)",0,0,1,1
"(89, 1)",1,0,1,0
"(90, 1)",1,0,0,1
"(91, 1)",1,0,1,1
"(92, 1)",0,0,1,1
"(93, 1)",1,0,1,0
"(94, 1)",1,0,0,0
"(95, 1)",1,0,0,1
"(96, 1)",0,0,1,1
"(97, 1)",1,0,1,1
