cell,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",1,0,1,0
"(4, 1)",1,0,0,1
"(5, 1)",1,0,1,0
"(6, 1)",0,0,0,1
"(7, 1)",0,0,1,1
"(8, 1)",1,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",1,0,1,0
"(11, 1)",0,0,0,1
"(12, 1)",1,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",1,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",0,0,1,1
"(18, 1)",1,0,1,0
"(19, 1)",0,0,0,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,1
"(22, 1)",0,0,1,1
"(23, 1)",0,0,1,1
"(24, 1)",0,0,1,0
"(25, 1)",1,0,0,1
"(26, 1)",1,0,1,0
"(27, 1)",1,0,0,1
"(28, 1)",1,0,1,1
"(29, 1)",1,0,1,0
"(30, 1)",1,0,0,1
"(31, 1)",0,0,1,1
"(32, 1)",0,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,0
"(37, 1)",1,0,0,1
"(38, 1)",1,0,1,0
"(39, 1)",1,0,0,1
"(40, 1)",0,0,1,1
"(41, 1)",1,0,1,0
"(42, 1)",1,0,0,1
"(43, 1)",1,0,1,1
"(44, 1)",0,0,1,1
"(45, 1)",1,0,1,0
"(46, 1)",0,0,0,1
"(47, 1)",0,0,1,1
"(48, 1)",1,0,1,1
"(49, 1)",1,0,1,0
"(50, 1)",1,0,0,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",0,0,1,1
"(54, 1)",1,0,1,0
"(55, 1)",0,0,0,1
"(56, 1)",1,0,1,1
"(57, 1)",0,0,1,1
"(58, 1)",1,0,1,0
"(59, 1)",1,0,0,1
"(60, 1)",0,0,1,1
"(61, 1)",0,0,1,1
"(62, 1)",1,0,1,1
"(63, 1)",0,0,1,1
"(64, 1)",0,0,1,0
"(65, 1)",1,0,0,1
"(66, 1)",1,0,1,1
"(67, 1)",0,0,1,1
"(68, 1)",0,0,1,0
"(69, 1)",1,0,0,1
"(70, 1)",1,0,1,1
"(71, 1)",0,0,1,1
"(72, 1)",0,0,1,1
"(73, 1)",0,0,1,1
"(74, 1)",0,0,1,1
"(75, 1)",1,0,1,0
"(76, 1)",1,0,0,0
"(77, 1)",1,0,0,1
"(78, 1)",1,0,1,1
"(79, 1)",0,0,1,1
"(80, 1)",1,0,1,0
"(81, 1)",1,0,0,1
"(82, 1)",0,0,1,1
"(83, 1)",0,0,1,1
"(84, 1)",1,0,1,1
"(85, 1)",0,0,1,1
"(86, 1)",0,0,1,1
"(87, 1)",1,0,1,0
"(88, 1)",0,0,0,1
"(89, 1)",1,0,1,0
"(90, 1)",1,0,0,1
"(91, 1)",0,0,1,1
"(92, 1)",0,0,1,1
"(93, 1)",0,0,1,1
"(94, 1)",1,0,1,1
"(95, 1)",0,0,1,1
"(96, 1)",1,0,1,0
"(97, 1)",1,0,0,1
"(98, 1)",0,0,1,1
"(99, 1)",1,0,1,1
"(100, 1)",1,0,1,0
"(1, 2)",0,0,0,1
"(2, 2)",1,0,1,0
"(3, 2)",1,1,0,0
"(4, 2)",1,1,0,0
"(5, 2)",0,1,0,1
"(6, 2)",0,0,1,1
"(7, 2)",1,0,1,0
"(8, 2)",0,1,0,1
"(9, 2)",1,0,1,0
"(10, 2)",0,1,0,1
"(11, 2)",0,0,1,1
"(12, 2)",0,1,1,0
"(13, 2)",1,0,0,1
"(14, 2)",0,0,1,0
"(15, 2)",0,1,0,1
"(16, 2)",0,1,1,0
"(17, 2)",1,0,0,0
"(18, 2)",0,1,0,1
"(19, 2)",0,0,1,1
"(20, 2)",1,0,1,0
"(21, 2)",0,1,0,1
"(22, 2)",0,0,1,1
"(23, 2)",0,0,1,1
"(24, 2)",0,0,1,1
"(25, 2)",0,1,1,0
"(26, 2)",0,1,0,1
"(27, 2)",0,1,1,0
"(28, 2)",1,1,0,0
"(29, 2)",1,1,0,0
"(30, 2)",0,1,0,1
"(31, 2)",1,0,1,1
"(32, 2)",0,0,1,1
"(33, 2)",0,0,1,1
"(34, 2)",1,0,1,0
"(35, 2)",0,0,0,1
"(36, 2)",0,1,1,1
"(37, 2)",1,1,1,0
"(38, 2)",0,1,0,0
"(39, 2)",1,1,0,0
"(40, 2)",1,0,0,0
"(41, 2)",1,1,0,0
"(42, 2)",1,1,0,0
"(43, 2)",0,1,0,1
"(44, 2)",1,0,1,0
"(45, 2)",0,1,0,1
"(46, 2)",0,0,1,1
"(47, 2)",1,0,1,0
"(48, 2)",1,1,0,0
"(49, 2)",0,1,0,1
"(50, 2)",0,1,1,0
"(51, 2)",1,0,0,1
"(52, 2)",0,0,1,1
"(53, 2)",1,0,1,0
"(54, 2)",0,1,0,1
"(55, 2)",1,0,1,0
"(56, 2)",0,1,0,1
"(57, 2)",0,0,1,0
"(58, 2)",1,1,0,0
"(59, 2)",1,1,0,0
"(60, 2)",1,0,0,1
"(61, 2)",0,0,1,0
"(62, 2)",1,1,0,0
"(63, 2)",1,0,0,1
"(64, 2)",0,0,1,1
"(65, 2)",0,1,1,0
"(66, 2)",0,1,0,1
"(67, 2)",0,0,1,1
"(68, 2)",0,0,1,1
"(69, 2)",0,1,1,0
"(70, 2)",0,1,0,1
"(71, 2)",1,0,1,0
"(72, 2)",1,0,0,1
