cell,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",0,0,0,1
"(3, 1)",1,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,0
"(6, 1)",0,0,0,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",1,0,1,0
"(12, 1)",1,0,0,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",1,0,1,1
"(16, 1)",1,0,1,0
"(17, 1)",1,0,0,1
"(18, 1)",1,0,1,0
"(19, 1)",1,0,0,1
"(20, 1)",0,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,1
"(23, 1)",1,0,1,0
"(24, 1)",1,0,0,0
"(25, 1)",1,0,0,1
"(26, 1)",1,0,1,0
"(27, 1)",1,0,0,1
"(28, 1)",0,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",0,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",0,0,1,1
"(33, 1)",1,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,0
"(37, 1)",0,0,0,1
"(38, 1)",1,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",0,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",1,0,1,1
"(43, 1)",0,0,1,1
"(44, 1)",0,0,1,1
"(45, 1)",0,0,1,0
"(46, 1)",1,0,0,1
"(47, 1)",1,0,1,0
"(48, 1)",1,0,0,1
"(49, 1)",1,0,1,0
"(50, 1)",1,0,0,1
"(51, 1)",0,0,1,1
"(52, 1)",1,0,1,1
"(53, 1)",1,0,1,1
"(54, 1)",0,0,1,1
"(55, 1)",0,0,1,1
"(56, 1)",0,0,1,1
"(57, 1)",0,0,1,1
"(58, 1)",0,0,1,0
"(59, 1)",1,0,0,1
"(60, 1)",0,0,1,1
"(61, 1)",1,0,1,1
"(62, 1)",0,0,1,1
"(63, 1)",0,0,1,1
"(64, 1)",1,0,1,0
"(65, 1)",0,0,0,1
"(66, 1)",0,0,1,1
"(67, 1)",0,0,1,1
"(68, 1)",1,0,1,1
"(69, 1)",0,0,1,1
"(70, 1)",0,0,1,1
"(71, 1)",0,0,1,1
"(72, 1)",0,0,1,1
"(73, 1)",1,0,1,0
"(74, 1)",1,0,0,1
"(75, 1)",1,0,1,1
"(76, 1)",0,0,1,0
"(77, 1)",1,0,0,1
"(78, 1)",1,0,1,1
"(79, 1)",1,0,1,0
"(80, 1)",0,0,0,1
"(81, 1)",1,0,1,1
"(82, 1)",1,0,1,0
"(83, 1)",0,0,0,1
"(84, 1)",0,0,1,1
"(85, 1)",0,0,1,1
"(86, 1)",0,0,1,1
"(87, 1)",0,0,1,1
"(88, 1)",0,0,1,1
"(89, 1)",1,0,1,1
"(90, 1)",0,0,1,0
"(91, 1)",1,0,0,1
"(92, 1)",0,0,1,1
"(93, 1)",1,0,1,1
"(94, 1)",0,0,1,1
"(95, 1)",1,0,1,0
"(96, 1)",0,0,0,1
"(97, 1)",1,0,1,1
"(98, 1)",1,0,1,0
"(99, 1)",1,0,0,1
"(100, 1)",1,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",1,0,0,1
"(3, 2)",0,1,1,0
"(4, 2)",1,0,0,0
"(5, 2)",1,1,0,0
"(6, 2)",1,0,0,1
"(7, 2)",0,0,1,1
"(8, 2)",1,0,1,0
"(9, 2)",1,1,0,0
"(10, 2)",0,0,0,1
"(11, 2)",0,1,1,0
"(12, 2)",0,1,0,1
"(13, 2)",0,0,1,1
"(14, 2)",1,0,1,0
