cell,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",1,0,0,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,1
"(6, 1)",0,0,1,0
"(7, 1)",1,0,0,1
"(8, 1)",1,0,1,0
"(9, 1)",1,0,0,1
"(10, 1)",1,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,0
"(13, 1)",0,0,0,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",1,0,1,1
"(17, 1)",1,0,1,0
"(18, 1)",1,0,0,1
"(19, 1)",1,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,0
"(23, 1)",0,0,0,1
"(24, 1)",1,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",0,0,1,1
"(29, 1)",0,0,1,0
"(30, 1)",1,0,0,1
"(31, 1)",0,0,1,1
"(32, 1)",1,0,1,1
"(33, 1)",1,0,1,0
"(34, 1)",1,0,0,1
"(35, 1)",1,0,1,0
"(36, 1)",0,0,0,1
"(37, 1)",1,0,1,1
"(38, 1)",0,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,0
"(41, 1)",1,0,0,1
"(42, 1)",0,0,1,1
"(43, 1)",0,0,1,1
"(44, 1)",1,0,1,0
"(45, 1)",1,0,0,1
"(46, 1)",0,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",0,0,1,0
"(49, 1)",1,0,0,1
"(50, 1)",0,0,1,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",1,0,1,1
"(54, 1)",1,0,1,0
"(55, 1)",1,0,0,1
"(56, 1)",1,0,1,0
"(57, 1)",1,0,0,1
"(58, 1)",1,0,1,0
"(59, 1)",1,0,0,1
"(60, 1)",1,0,1,1
"(61, 1)",0,0,1,1
"(62, 1)",1,0,1,1
"(63, 1)",0,0,1,1
"(64, 1)",0,0,1,0
"(65, 1)",1,0,0,1
"(66, 1)",1,0,1,1
"(67, 1)",0,0,1,1
"(68, 1)",0,0,1,1
"(69, 1)",0,0,1,1
"(70, 1)",0,0,1,0
"(71, 1)",1,0,0,1
"(72, 1)",1,0,1,0
"(73, 1)",1,0,0,1
"(74, 1)",1,0,1,1
"(75, 1)",0,0,1,1
