cell,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",1,0,0,1
"(3, 1)",1,0,1,0
"(4, 1)",1,0,0,1
"(5, 1)",1,0,1,0
"(6, 1)",1,0,0,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",1,0,1,0
"(11, 1)",1,0,0,1
"(12, 1)",1,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",1,0,1,0
"(15, 1)",0,0,0,1
"(16, 1)",1,0,1,0
"(17, 1)",1,0,0,1
"(18, 1)",0,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,1
"(23, 1)",0,0,1,1
"(24, 1)",1,0,1,0
"(25, 1)",1,0,0,0
"(26, 1)",1,0,0,1
"(27, 1)",0,0,1,1
"(28, 1)",0,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",0,0,1,0
"(32, 1)",1,0,0,1
"(33, 1)",0,0,1,1
"(34, 1)",1,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,0
"(37, 1)",0,0,0,1
"(38, 1)",0,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",1,0,1,0
"(43, 1)",0,0,0,1
"(44, 1)",1,0,1,1
"(45, 1)",0,0,1,1
"(46, 1)",1,0,1,1
"(47, 1)",0,0,1,0
"(48, 1)",1,0,0,1
"(49, 1)",0,0,1,1
"(50, 1)",0,0,1,1
"(51, 1)",0,0,1,1
"(52, 1)",1,0,1,0
"(53, 1)",1,0,0,1
"(54, 1)",0,0,1,1
"(55, 1)",1,0,1,1
"(56, 1)",0,0,1,0
"(57, 1)",1,0,0,1
"(58, 1)",1,0,1,1
"(59, 1)",0,0,1,1
"(60, 1)",1,0,1,0
"(61, 1)",1,0,0,1
"(62, 1)",1,0,1,0
"(63, 1)",1,0,0,1
"(64, 1)",1,0,1,0
"(65, 1)",0,0,0,1
"(66, 1)",0,0,1,1
"(67, 1)",1,0,1,1
"(68, 1)",1,0,1,0
"(69, 1)",1,0,0,1
"(70, 1)",0,0,1,1
"(71, 1)",1,0,1,0
"(72, 1)",0,0,0,1
"(73, 1)",1,0,1,0
"(74, 1)",1,0,0,1
"(75, 1)",0,0,1,1
"(76, 1)",0,0,1,1
"(77, 1)",0,0,1,1
"(78, 1)",0,0,1,1
"(79, 1)",1,0,1,1
"(80, 1)",1,0,1,0
"(81, 1)",1,0,0,1
"(82, 1)",0,0,1,1
"(83, 1)",0,0,1,1
"(84, 1)",0,0,1,1
"(85, 1)",1,0,1,1
"(86, 1)",0,0,1,1
"(87, 1)",1,0,1,0
"(88, 1)",1,0,0,1
"(89, 1)",0,0,1,1
"(90, 1)",0,0,1,1
"(91, 1)",0,0,1,1
"(92, 1)",0,0,1,1
"(93, 1)",0,0,1,1
"(94, 1)",0,0,1,1
"(95, 1)",0,0,1,1
"(96, 1)",0,0,1,1
"(97, 1)",0,0,1,1
