  cell  ,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",1,0,0,0
"(3, 1)",1,0,0,1
"(4, 1)",0,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,0
"(10, 1)",1,0,0,1
"(11, 1)",1,0,1,0
"(12, 1)",0,0,0,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",1,0,1,1
"(17, 1)",1,0,1,0
"(18, 1)",1,0,0,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,0
"(21, 1)",1,0,0,1
"(22, 1)",0,0,1,1
"(23, 1)",0,0,1,1
"(24, 1)",1,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",0,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,0
"(31, 1)",0,0,0,1
"(32, 1)",0,0,1,1
"(33, 1)",1,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",1,0,1,0
"(36, 1)",0,0,0,1
"(37, 1)",1,0,1,1
"(38, 1)",1,0,1,0
"(39, 1)",1,0,0,1
"(40, 1)",0,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",1,0,1,0
"(43, 1)",1,0,0,1
"(44, 1)",0,0,1,1
"(45, 1)",0,0,1,1
"(46, 1)",1,0,1,0
"(47, 1)",1,0,0,1
"(48, 1)",1,0,1,1
"(49, 1)",0,0,1,1
"(50, 1)",0,0,1,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",1,0,1,0
"(54, 1)",1,0,0,1
"(55, 1)",0,0,1,1
"(56, 1)",1,0,1,1
"(57, 1)",0,0,1,1
"(58, 1)",0,0,1,1
"(59, 1)",1,0,1,0
"(60, 1)",0,0,0,1
"(61, 1)",0,0,1,1
"(62, 1)",0,0,1,1
"(63, 1)",1,0,1,1
"(64, 1)",0,0,1,1
"(65, 1)",1,0,1,0
"(66, 1)",1,0,0,1
"(67, 1)",0,0,1,1
"(68, 1)",1,0,1,0
"(69, 1)",1,0,0,1
"(70, 1)",0,0,1,1
"(71, 1)",0,0,1,1
"(72, 1)",0,0,1,1
"(73, 1)",0,0,1,1
"(74, 1)",0,0,1,1
"(75, 1)",0,0,1,1
"(76, 1)",1,0,1,0
"(77, 1)",0,0,0,1
"(78, 1)",1,0,1,1
"(79, 1)",1,0,1,0
"(80, 1)",0,0,0,1
"(81, 1)",1,0,1,1
"(82, 1)",0,0,1,1
"(83, 1)",0,0,1,1
"(84, 1)",1,0,1,0
"(85, 1)",0,0,0,1
"(86, 1)",0,0,1,1
"(87, 1)",0,0,1,1
"(88, 1)",0,0,1,1
"(89, 1)",1,0,1,1
"(90, 1)",0,0,1,0
"(91, 1)",1,0,0,1
"(92, 1)",0,0,1,1
"(93, 1)",1,0,1,1
"(94, 1)",1,0,1,0
"(95, 1)",1,0,0,1
"(96, 1)",1,0,1,0
"(97, 1)",1,0,0,1
"(98, 1)",1,0,1,1
"(99, 1)",0,0,1,1
"(100, 1)",1,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",1,1,0,1
"(3, 2)",0,1,1,0
"(4, 2)",1,0,0,1
"(5, 2)",0,0,1,0
"(6, 2)",0,1,0,1
"(7, 2)",1,0,1,0
"(8, 2)",1,0,0,1
"(9, 2)",0,1,1,0
"(10, 2)",1,1,0,0
"(11, 2)",1,1,0,0
"(12, 2)",1,0,0,1
"(13, 2)",0,0,1,1
"(14, 2)",0,0,1,1
"(15, 2)",1,0,1,0
"(16, 2)",1,1,0,0
"(17, 2)",1,1,0,0
"(18, 2)",1,1,0,0
"(19, 2)",1,0,0,1
"(20, 2)",0,1,1,0
"(21, 2)",0,1,0,0
"(22, 2)",1,0,0,1
"(23, 2)",1,0,1,0
"(24, 2)",0,1,0,0
"(25, 2)",0,1,0,1
"(26, 2)",0,0,1,1
"(27, 2)",0,0,1,1
"(28, 2)",1,0,1,0
"(29, 2)",1,0,0,0
"(30, 2)",1,1,0,0
"(31, 2)",1,0,0,1
"(32, 2)",1,0,1,0
"(33, 2)",0,1,0,1
"(34, 2)",1,0,1,0
"(35, 2)",1,1,0,0
"(36, 2)",1,0,0,1
"(37, 2)",0,1,1,0
"(38, 2)",1,1,0,0
"(39, 2)",1,1,0,1
"(40, 2)",0,0,1,1
"(41, 2)",0,0,1,0
"(42, 2)",0,1,0,1
"(43, 2)",0,1,1,0
"(44, 2)",1,0,0,1
"(45, 2)",1,0,1,0
"(46, 2)",0,1,0,1
"(47, 2)",1,1,1,0
"(48, 2)",1,1,0,0
"(49, 2)",1,0,0,1
"(50, 2)",0,0,1,1
"(51, 2)",0,0,1,1
"(52, 2)",1,0,1,0
"(53, 2)",1,1,0,0
"(54, 2)",0,1,0,1
"(55, 2)",0,0,1,0
"(56, 2)",1,1,0,0
"(57, 2)",1,0,0,1
"(58, 2)",0,0,1,0
"(59, 2)",0,1,0,1
"(60, 2)",0,0,1,1
"(61, 2)",0,0,1,1
"(62, 2)",0,0,1,1
"(63, 2)",0,1,1,0
"(64, 2)",1,0,0,1
"(65, 2)",0,1,1,0
"(66, 2)",1,1,0,0
"(67, 2)",1,0,0,1
"(68, 2)",0,1,1,0
"(69, 2)",0,1,0,1
"(70, 2)",1,0,1,0
"(71, 2)",1,0,0,1
"(72, 2)",0,0,1,1
"(73, 2)",0,0,1,1
"(74, 2)",1,0,1,1
"(75, 2)",0,0,1,0
"(76, 2)",0,1,0,1
"(77, 2)",1,0,1,0
"(78, 2)",1,1,0,0
"(79, 2)",0,1,0,1
"(80, 2)",1,0,1,0
"(81, 2)",1,1,0,0
"(82, 2)",1,0,0,1
"(83, 2)",1,0,1,0
"(84, 2)",0,1,0,1
"(85, 2)",0,0,1,1
"(86, 2)",0,0,1,1
"(87, 2)",0,0,1,1
"(88, 2)",1,0,1,0
"(89, 2)",0,1,0,1
"(90, 2)",1,0,1,1
"(91, 2)",0,1,1,0
"(92, 2)",1,0,0,0
"(93, 2)",1,1,0,0
"(94, 2)",0,1,0,0
"(95, 2)",1,1,0,0
"(96, 2)",0,1,0,1
"(97, 2)",0,1,1,0
"(98, 2)",0,1,0,1
"(99, 2)",1,0,1,0
"(100, 2)",0,1,0,0
"(1, 3)",1,1,0,0
"(2, 3)",0,1,0,1
"(3, 3)",1,0,1,0
"(4, 3)",1,1,0,0
"(5, 3)",1,0,0,1
"(6, 3)",0,0,1,1
"(7, 3)",1,1,1,0
"(8, 3)",0,1,0,1
"(9, 3)",0,0,1,1
"(10, 3)",0,1,1,0
"(11, 3)",0,1,0,1
"(12, 3)",0,1,1,0
"(13, 3)",1,0,0,0
"(14, 3)",1,0,0,1
"(15, 3)",0,1,1,0
"(16, 3)",1,1,0,0
"(17, 3)",0,1,0,1
"(18, 3)",0,1,1,0
"(19, 3)",0,1,0,1
"(20, 3)",0,0,1,1
"(21, 3)",0,0,1,1
"(22, 3)",0,1,1,0
"(23, 3)",0,1,0,1
"(24, 3)",0,0,1,1
"(25, 3)",0,0,1,1
"(26, 3)",0,0,1,1
"(27, 3)",0,0,1,1
"(28, 3)",0,1,1,0
"(29, 3)",1,1,0,0
"(30, 3)",0,1,0,1
"(31, 3)",0,1,1,0
"(32, 3)",0,1,0,1
"(33, 3)",0,0,1,1
"(34, 3)",0,1,1,0
"(35, 3)",0,1,0,1
"(36, 3)",0,1,1,0
"(37, 3)",1,0,0,1
"(38, 3)",0,1,1,0
"(39, 3)",1,1,0,0
"(40, 3)",1,0,0,1
"(41, 3)",0,0,1,1
"(42, 3)",1,0,1,0
"(43, 3)",1,0,0,1
"(44, 3)",0,1,1,0
"(45, 3)",0,1,0,1
"(46, 3)",1,0,1,0
"(47, 3)",0,1,0,0
"(48, 3)",1,1,0,0
"(49, 3)",1,1,0,1
"(50, 3)",1,0,1,0
"(51, 3)",1,0,0,0
"(52, 3)",1,1,0,0
"(53, 3)",0,1,0,1
"(54, 3)",0,0,1,1
"(55, 3)",0,0,1,1
"(56, 3)",0,1,1,0
"(57, 3)",1,1,0,1
"(58, 3)",0,0,1,1
"(59, 3)",1,0,1,1
"(60, 3)",0,0,1,1
"(61, 3)",0,0,1,1
"(62, 3)",0,0,1,1
"(63, 3)",1,0,1,0
"(64, 3)",1,1,0,0
"(65, 3)",1,0,0,1
"(66, 3)",0,1,1,0
"(67, 3)",0,1,0,1
"(68, 3)",0,0,1,1
"(69, 3)",0,0,1,1
"(70, 3)",0,1,1,0
"(71, 3)",0,1,0,0
"(72, 3)",1,0,0,1
"(73, 3)",0,0,1,1
"(74, 3)",0,1,1,0
"(75, 3)",1,0,0,1
"(76, 3)",0,0,1,1
"(77, 3)",0,1,1,0
"(78, 3)",1,1,0,1
"(79, 3)",1,0,1,0
"(80, 3)",0,1,0,1
"(81, 3)",0,1,1,0
"(82, 3)",1,1,0,0
"(83, 3)",1,1,0,0
"(84, 3)",1,0,0,1
"(85, 3)",0,0,1,1
"(86, 3)",0,0,1,1
"(87, 3)",1,0,1,0
"(88, 3)",0,1,0,1
"(89, 3)",1,0,1,0
"(90, 3)",1,1,0,1
"(91, 3)",0,0,1,1
"(92, 3)",0,1,1,0
"(93, 3)",0,1,0,1
"(94, 3)",0,0,1,1
"(95, 3)",0,1,1,0
"(96, 3)",1,0,0,1
"(97, 3)",0,0,1,1
"(98, 3)",1,0,1,0
"(99, 3)",0,1,0,1
"(100, 3)",1,0,1,0
"(1, 4)",0,1,0,1
"(2, 4)",1,0,1,0
"(3, 4)",0,1,0,1
"(4, 4)",0,1,1,0
"(5, 4)",1,1,0,1
"(6, 4)",1,0,1,0
"(7, 4)",0,1,0,0
"(8, 4)",1,0,0,1
"(9, 4)",1,0,1,0
"(10, 4)",1,0,0,1
"(11, 4)",0,0,1,1
"(12, 4)",1,0,1,1
"(13, 4)",0,1,1,0
"(14, 4)",0,1,0,1
"(15, 4)",1,0,1,0
"(16, 4)",1,1,0,1
"(17, 4)",0,0,1,1
"(18, 4)",0,0,1,1
"(19, 4)",1,0,1,1
"(20, 4)",1,0,1,0
"(21, 4)",1,0,0,1
"(22, 4)",1,0,1,0
"(23, 4)",1,0,0,1
"(24, 4)",0,0,1,1
"(25, 4)",0,0,1,1
"(26, 4)",1,0,1,1
"(27, 4)",0,0,1,0
"(28, 4)",1,0,0,1
"(29, 4)",1,1,1,0
"(30, 4)",1,0,0,1
"(31, 4)",0,0,1,1
"(32, 4)",0,0,1,1
"(33, 4)",1,0,1,1
"(34, 4)",0,0,1,1
"(35, 4)",0,0,1,1
"(36, 4)",0,0,1,0
"(37, 4)",0,1,0,1
"(38, 4)",1,0,1,0
"(39, 4)",1,1,0,0
"(40, 4)",1,1,0,0
"(41, 4)",1,0,0,0
"(42, 4)",1,1,0,0
"(43, 4)",1,1,0,0
"(44, 4)",1,0,0,1
"(45, 4)",1,0,1,0
"(46, 4)",1,1,0,0
"(47, 4)",1,0,0,1
"(48, 4)",0,1,1,0
"(49, 4)",1,1,0,0
"(50, 4)",1,1,0,0
"(51, 4)",0,1,0,1
"(52, 4)",0,1,1,0
"(53, 4)",1,0,0,1
"(54, 4)",0,0,1,1
"(55, 4)",1,0,1,1
"(56, 4)",1,0,1,0
"(57, 4)",1,1,0,1
"(58, 4)",0,0,1,0
"(59, 4)",0,1,0,1
"(60, 4)",1,0,1,0
"(61, 4)",1,0,0,0
"(62, 4)",1,0,0,1
"(63, 4)",0,1,1,0
"(64, 4)",1,1,0,0
"(65, 4)",1,1,0,1
"(66, 4)",0,0,1,1
"(67, 4)",1,0,1,0
"(68, 4)",1,0,0,1
"(69, 4)",0,0,1,1
"(70, 4)",0,0,1,1
"(71, 4)",1,0,1,0
"(72, 4)",1,1,0,0
"(73, 4)",1,0,0,1
"(74, 4)",1,0,1,0
"(75, 4)",1,1,0,0
"(76, 4)",1,0,0,1
"(77, 4)",1,0,1,0
"(78, 4)",1,1,0,0
"(79, 4)",1,1,0,0
"(80, 4)",1,0,0,1
"(81, 4)",0,0,1,1
"(82, 4)",0,1,1,0
"(83, 4)",0,1,0,1
"(84, 4)",0,1,1,0
"(85, 4)",1,0,0,1
"(86, 4)",0,0,1,1
"(87, 4)",0,1,1,0
"(88, 4)",1,0,0,1
"(89, 4)",0,1,1,0
"(90, 4)",0,1,0,0
"(91, 4)",1,0,0,1
"(92, 4)",0,0,1,1
"(93, 4)",0,0,1,1
"(94, 4)",1,0,1,0
"(95, 4)",1,0,0,1
"(96, 4)",0,1,1,0
"(97, 4)",1,0,0,1
"(98, 4)",0,1,1,0
"(99, 4)",1,0,0,1
"(100, 4)",1,1,1,0
"(1, 5)",1,0,0,0
"(2, 5)",0,1,0,1
"(3, 5)",0,0,1,1
"(4, 5)",1,0,1,0
"(5, 5)",1,1,0,0
"(6, 5)",1,1,0,0
"(7, 5)",1,0,0,1
"(8, 5)",0,1,1,0
"(9, 5)",1,1,0,0
"(10, 5)",0,1,0,1
"(11, 5)",1,0,1,0
"(12, 5)",0,1,0,1
"(13, 5)",0,0,1,1
"(14, 5)",0,0,1,1
"(15, 5)",0,1,1,0
"(16, 5)",0,1,0,0
"(17, 5)",1,0,0,1
"(18, 5)",1,0,1,0
"(19, 5)",0,1,0,0
"(20, 5)",0,1,0,1
"(21, 5)",1,1,1,0
"(22, 5)",1,1,0,0
"(23, 5)",0,1,0,1
"(24, 5)",0,0,1,1
"(25, 5)",1,0,1,0
"(26, 5)",0,1,0,1
"(27, 5)",1,0,1,0
"(28, 5)",1,1,0,0
"(29, 5)",1,1,0,0
"(30, 5)",0,1,0,1
"(31, 5)",1,0,1,0
"(32, 5)",1,0,0,1
"(33, 5)",0,1,1,0
"(34, 5)",1,0,0,1
"(35, 5)",0,0,1,1
"(36, 5)",0,0,1,1
"(37, 5)",1,0,1,0
"(38, 5)",1,1,0,0
"(39, 5)",0,1,0,0
"(40, 5)",1,1,0,0
"(41, 5)",1,1,0,0
"(42, 5)",0,1,0,1
"(43, 5)",0,1,1,0
"(44, 5)",1,1,0,0
"(45, 5)",1,1,0,0
"(46, 5)",0,1,0,1
"(47, 5)",0,1,1,0
"(48, 5)",0,0,0,1
"(49, 5)",0,1,1,0
"(50, 5)",1,1,0,0
"(51, 5)",1,0,0,1
"(52, 5)",0,0,1,1
"(53, 5)",0,1,1,0
"(54, 5)",1,0,0,1
"(55, 5)",0,1,1,0
"(56, 5)",1,1,0,0
"(57, 5)",0,1,0,0
"(58, 5)",1,0,0,1
"(59, 5)",0,0,1,1
"(60, 5)",0,1,1,0
"(61, 5)",0,1,0,1
"(62, 5)",0,1,1,0
"(63, 5)",1,0,0,1
"(64, 5)",0,1,1,0
"(65, 5)",0,1,0,1
"(66, 5)",1,0,1,0
"(67, 5)",1,1,0,0
"(68, 5)",1,1,0,0
"(69, 5)",1,0,0,1
"(70, 5)",0,0,1,0
"(71, 5)",1,1,0,0
"(72, 5)",0,1,0,1
"(73, 5)",0,1,1,0
"(74, 5)",0,1,0,1
"(75, 5)",1,1,1,0
"(76, 5)",0,1,0,0
"(77, 5)",0,1,0,1
"(78, 5)",1,1,1,0
"(79, 5)",0,1,0,1
"(80, 5)",0,1,1,0
"(81, 5)",1,0,0,1
"(82, 5)",0,0,1,1
"(83, 5)",0,0,1,1
"(84, 5)",1,0,1,0
"(85, 5)",0,1,0,1
"(86, 5)",0,0,1,1
"(87, 5)",1,0,1,0
"(88, 5)",0,1,0,1
"(89, 5)",0,0,1,1
"(90, 5)",0,0,1,1
"(91, 5)",0,1,1,0
"(92, 5)",0,0,0,1
"(93, 5)",1,0,1,0
"(94, 5)",1,1,0,0
"(95, 5)",1,1,0,0
"(96, 5)",0,0,0,1
"(97, 5)",0,1,1,1
"(98, 5)",0,0,1,1
"(99, 5)",0,1,1,0
"(100, 5)",0,1,0,0
"(1, 6)",1,1,0,1
"(2, 6)",0,0,1,1
"(3, 6)",1,0,1,0
"(4, 6)",1,1,0,0
"(5, 6)",1,1,0,0
"(6, 6)",0,1,0,1
"(7, 6)",0,1,1,0
"(8, 6)",1,0,0,1
"(9, 6)",0,1,1,0
"(10, 6)",0,0,0,1
"(11, 6)",0,1,1,1
"(12, 6)",1,0,1,0
"(13, 6)",1,0,0,1
"(14, 6)",1,0,1,1
"(15, 6)",0,0,1,1
"(16, 6)",0,0,1,1
"(17, 6)",0,1,1,0
"(18, 6)",0,1,0,1
"(19, 6)",0,0,1,1
"(20, 6)",1,0,1,0
"(21, 6)",1,1,0,0
"(22, 6)",1,1,0,0
"(23, 6)",1,0,0,0
"(24, 6)",1,0,0,1
"(25, 6)",0,1,1,0
"(26, 6)",1,0,0,0
"(27, 6)",0,1,0,1
"(28, 6)",0,1,1,0
"(29, 6)",0,1,0,1
"(30, 6)",1,0,1,0
"(31, 6)",1,1,0,0
"(32, 6)",1,1,0,0
"(33, 6)",1,0,0,1
"(34, 6)",0,1,1,1
"(35, 6)",0,0,1,1
"(36, 6)",0,0,1,0
"(37, 6)",0,1,0,1
"(38, 6)",0,1,1,1
"(39, 6)",1,0,1,0
"(40, 6)",1,1,0,0
"(41, 6)",0,1,0,1
"(42, 6)",0,0,1,1
"(43, 6)",0,0,1,1
"(44, 6)",0,1,1,0
"(45, 6)",0,1,0,1
"(46, 6)",0,0,1,1
"(47, 6)",1,0,1,1
"(48, 6)",1,0,1,0
"(49, 6)",1,0,0,1
"(50, 6)",0,1,1,0
"(51, 6)",0,1,0,1
"(52, 6)",0,0,1,1
"(53, 6)",1,0,1,0
"(54, 6)",0,1,0,1
"(55, 6)",1,0,1,0
"(56, 6)",0,1,0,1
"(57, 6)",0,0,1,1
"(58, 6)",0,1,1,0
"(59, 6)",1,0,0,1
"(60, 6)",0,0,1,1
"(61, 6)",0,0,1,1
"(62, 6)",1,0,1,0
"(63, 6)",1,1,0,0
"(64, 6)",0,0,0,1
"(65, 6)",0,0,1,1
"(66, 6)",1,1,1,0
"(67, 6)",1,1,0,0
"(68, 6)",1,1,0,0
"(69, 6)",1,1,0,0
"(70, 6)",1,0,0,1
"(71, 6)",1,1,1,0
"(72, 6)",1,0,0,1
"(73, 6)",0,0,1,1
"(74, 6)",1,0,1,0
"(75, 6)",0,1,0,1
"(76, 6)",0,0,1,1
"(77, 6)",1,0,1,0
"(78, 6)",0,1,0,1
"(79, 6)",0,0,1,1
"(80, 6)",0,0,1,1
"(81, 6)",0,1,1,0
"(82, 6)",1,0,0,1
"(83, 6)",1,0,1,0
"(84, 6)",1,1,0,0
"(85, 6)",0,0,0,1
"(86, 6)",1,0,1,0
"(87, 6)",1,1,0,0
"(88, 6)",1,0,0,1
"(89, 6)",1,0,1,0
"(90, 6)",1,0,0,1
"(91, 6)",0,0,1,1
"(92, 6)",0,0,1,1
"(93, 6)",1,1,1,0
"(94, 6)",1,1,0,0
"(95, 6)",1,1,0,0
"(96, 6)",1,0,0,1
"(97, 6)",0,0,1,1
"(98, 6)",0,0,1,1
"(99, 6)",0,0,1,1
"(100, 6)",1,0,1,0
"(1, 7)",1,1,0,1
"(2, 7)",1,0,1,0
"(3, 7)",1,1,0,0
"(4, 7)",1,1,0,0
"(5, 7)",1,1,0,1
"(6, 7)",0,0,1,1
"(7, 7)",0,0,1,0
"(8, 7)",1,1,0,1
"(9, 7)",0,0,1,1
"(10, 7)",1,0,1,0
"(11, 7)",1,0,0,1
"(12, 7)",0,1,1,0
"(13, 7)",0,1,0,0
"(14, 7)",1,1,0,0
"(15, 7)",0,0,0,1
"(16, 7)",1,0,1,1
"(17, 7)",0,0,1,0
"(18, 7)",1,0,0,1
"(19, 7)",0,0,1,1
"(20, 7)",0,1,1,0
"(21, 7)",0,1,0,0
"(22, 7)",1,1,0,0
"(23, 7)",1,1,0,1
"(24, 7)",0,1,1,0
"(25, 7)",1,0,0,1
"(26, 7)",0,1,1,1
"(27, 7)",0,0,1,1
"(28, 7)",0,0,1,1
"(29, 7)",1,0,1,0
"(30, 7)",0,1,0,1
"(31, 7)",0,1,1,0
"(32, 7)",1,1,0,0
"(33, 7)",1,1,0,0
"(34, 7)",1,0,0,0
"(35, 7)",1,0,0,1
"(36, 7)",0,0,1,1
"(37, 7)",1,0,1,0
"(38, 7)",1,0,0,0
"(39, 7)",1,1,0,0
"(40, 7)",1,1,0,0
"(41, 7)",1,0,0,1
