  cell  ,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",1,0,0,1
"(3, 1)",0,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",0,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",1,0,1,0
"(9, 1)",1,0,0,0
"(10, 1)",1,0,0,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",1,0,1,0
"(17, 1)",1,0,0,1
"(18, 1)",1,0,1,1
"(19, 1)",0,0,1,0
"(20, 1)",1,0,0,1
"(21, 1)",1,0,1,1
"(22, 1)",0,0,1,1
"(23, 1)",1,0,1,0
"(24, 1)",1,0,0,1
"(25, 1)",1,0,1,0
"(26, 1)",1,0,0,1
"(27, 1)",1,0,1,0
"(28, 1)",1,0,0,1
"(29, 1)",0,0,1,1
"(30, 1)",0,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",1,0,1,0
"(33, 1)",1,0,0,1
"(34, 1)",0,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",0,0,1,1
"(37, 1)",0,0,1,1
"(38, 1)",1,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,0
"(41, 1)",1,0,0,1
"(42, 1)",0,0,1,1
"(43, 1)",0,0,1,1
"(44, 1)",0,0,1,1
"(45, 1)",0,0,1,1
"(46, 1)",0,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",0,0,1,1
"(49, 1)",0,0,1,1
"(50, 1)",0,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",0,1,0,1
"(3, 2)",1,0,1,0
"(4, 2)",1,0,0,1
"(5, 2)",0,0,1,1
"(6, 2)",0,0,1,0
"(7, 2)",1,0,0,1
"(8, 2)",0,1,1,0
"(9, 2)",1,1,0,1
"(10, 2)",0,1,1,0
"(11, 2)",1,0,0,0
"(12, 2)",0,1,0,1
"(13, 2)",0,0,1,1
"(14, 2)",1,0,1,0
"(15, 2)",1,0,0,0
"(16, 2)",1,1,0,0
"(17, 2)",1,1,0,0
"(18, 2)",0,1,0,0
"(19, 2)",1,0,0,1
"(20, 2)",0,1,1,0
"(21, 2)",1,1,0,0
"(22, 2)",1,0,0,0
"(23, 2)",0,1,0,1
"(24, 2)",0,1,1,0
"(25, 2)",1,1,0,0
"(26, 2)",1,1,0,0
"(27, 2)",1,1,0,0
"(28, 2)",1,1,0,0
"(29, 2)",1,0,0,1
"(30, 2)",0,0,1,1
"(31, 2)",0,0,1,0
"(32, 2)",1,1,0,0
"(33, 2)",0,1,0,1
"(34, 2)",1,0,1,0
"(35, 2)",1,0,0,0
"(36, 2)",1,0,0,1
"(37, 2)",1,0,1,0
"(38, 2)",1,1,0,0
"(39, 2)",1,0,0,1
"(40, 2)",0,1,1,0
"(41, 2)",1,1,0,0
"(42, 2)",1,0,0,1
"(43, 2)",0,0,1,1
"(44, 2)",0,0,1,1
"(45, 2)",0,0,1,1
"(46, 2)",1,0,1,0
"(47, 2)",1,1,0,0
