  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",0,0,0,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,1
"(6, 1)",1,0,1,0
"(7, 1)",1,0,0,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,0
"(10, 1)",1,0,0,1
"(11, 1)",1,0,1,0
"(12, 1)",1,0,0,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",1,0,1,1
"(16, 1)",1,0,1,0
"(17, 1)",0,0,0,1
"(18, 1)",1,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,1
"(21, 1)",1,0,1,0
"(22, 1)",1,0,0,1
"(23, 1)",0,0,1,1
"(24, 1)",0,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",1,0,1,0
"(27, 1)",1,0,0,1
"(28, 1)",1,0,1,0
"(29, 1)",1,0,0,1
"(30, 1)",1,0,1,0
"(31, 1)",1,0,0,1
"(32, 1)",1,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",1,0,1,0
"(36, 1)",0,0,0,1
"(37, 1)",0,0,1,1
"(38, 1)",0,0,1,1
"(39, 1)",0,0,1,1
"(40, 1)",0,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",0,0,1,1
"(43, 1)",1,0,1,1
"(44, 1)",0,0,1,1
"(45, 1)",0,0,1,1
"(46, 1)",1,0,1,1
"(47, 1)",0,0,1,1
"(48, 1)",0,0,1,1
"(49, 1)",1,0,1,0
"(50, 1)",1,0,0,0
"(1, 2)",1,0,0,0
"(2, 2)",1,1,0,0
"(3, 2)",1,0,0,1
"(4, 2)",0,0,1,1
"(5, 2)",0,1,1,0
"(6, 2)",1,1,0,0
"(7, 2)",1,1,0,1
"(8, 2)",1,0,1,0
"(9, 2)",0,1,0,1
"(10, 2)",0,1,1,0
"(11, 2)",1,1,0,0
"(12, 2)",0,1,0,0
"(13, 2)",1,0,0,1
"(14, 2)",1,0,1,0
"(15, 2)",1,1,0,0
"(16, 2)",0,1,0,1
"(17, 2)",1,0,1,0
"(18, 2)",0,1,0,1
"(19, 2)",0,0,1,0
"(20, 2)",1,1,0,0
"(21, 2)",0,1,0,0
"(22, 2)",0,1,0,1
"(23, 2)",0,0,1,1
"(24, 2)",1,0,1,0
"(25, 2)",1,1,0,0
