cell,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",1,0,0,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,1
"(6, 1)",0,0,1,1
"(7, 1)",1,0,1,0
"(8, 1)",0,0,0,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",1,0,1,1
"(12, 1)",1,0,1,0
"(13, 1)",1,0,0,0
"(14, 1)",1,0,0,1
"(15, 1)",1,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",0,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,0
"(23, 1)",0,0,0,1
"(24, 1)",0,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",1,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,0
"(31, 1)",1,0,0,1
"(32, 1)",0,0,1,1
"(33, 1)",0,0,1,1
"(34, 1)",1,0,1,0
"(35, 1)",1,0,0,1
"(36, 1)",1,0,1,0
"(37, 1)",0,0,0,1
"(38, 1)",0,0,1,1
"(39, 1)",1,0,1,1
"(40, 1)",0,0,1,1
"(41, 1)",1,0,1,0
"(42, 1)",0,0,0,1
"(43, 1)",1,0,1,1
"(44, 1)",1,0,1,0
"(45, 1)",0,0,0,1
"(46, 1)",0,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",1,0,1,0
"(49, 1)",1,0,0,1
"(50, 1)",1,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",0,1,1,0
"(3, 2)",0,1,0,0
"(4, 2)",1,0,0,1
"(5, 2)",0,1,1,0
"(6, 2)",1,0,0,0
"(7, 2)",0,1,0,1
"(8, 2)",0,0,1,1
"(9, 2)",0,0,1,1
"(10, 2)",1,0,1,0
"(11, 2)",1,1,0,0
"(12, 2)",0,1,0,1
"(13, 2)",0,1,1,0
"(14, 2)",1,1,0,0
"(15, 2)",1,1,0,0
"(16, 2)",0,1,0,1
"(17, 2)",0,0,1,1
"(18, 2)",1,0,1,0
"(19, 2)",1,0,0,1
"(20, 2)",0,1,1,0
"(21, 2)",1,0,0,1
"(22, 2)",0,1,1,0
"(23, 2)",1,0,0,1
"(24, 2)",0,0,1,1
"(25, 2)",1,0,1,0
