  cell  ,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",0,0,0,1
"(3, 1)",1,0,1,1
"(4, 1)",1,0,1,0
"(5, 1)",0,0,0,1
"(6, 1)",1,0,1,1
"(7, 1)",1,0,1,0
"(8, 1)",1,0,0,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,0
"(11, 1)",1,0,0,1
"(12, 1)",0,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",1,0,1,1
"(15, 1)",0,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",0,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,1
"(20, 1)",1,0,1,0
"(21, 1)",0,0,0,1
"(22, 1)",1,0,1,0
"(23, 1)",1,0,0,1
"(24, 1)",0,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",1,0,1,1
"(27, 1)",1,0,1,0
"(28, 1)",1,0,0,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,0
"(31, 1)",1,0,0,0
"(32, 1)",1,0,0,1
"(33, 1)",0,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",1,0,1,0
"(36, 1)",1,0,0,1
"(37, 1)",1,0,1,0
"(38, 1)",1,0,0,1
"(39, 1)",1,0,1,1
"(40, 1)",0,0,1,0
"(1, 2)",0,1,0,1
"(2, 2)",0,0,1,1
"(3, 2)",0,1,1,0
"(4, 2)",0,1,0,1
"(5, 2)",0,0,1,1
"(6, 2)",0,1,1,0
"(7, 2)",1,1,0,0
"(8, 2)",0,1,0,1
"(9, 2)",1,0,1,0
"(10, 2)",1,0,0,1
"(11, 2)",0,1,1,0
"(12, 2)",0,0,0,1
"(13, 2)",1,0,1,0
"(14, 2)",0,1,0,1
"(15, 2)",0,0,1,1
"(16, 2)",0,1,1,0
"(17, 2)",1,0,0,1
"(18, 2)",0,0,1,0
"(19, 2)",1,1,0,0
"(20, 2)",1,1,0,1
"(21, 2)",0,0,1,1
"(22, 2)",0,1,1,0
"(23, 2)",1,1,0,0
"(24, 2)",1,0,0,1
"(25, 2)",0,0,1,0
"(26, 2)",1,1,0,0
"(27, 2)",0,1,0,1
"(28, 2)",0,1,1,0
"(29, 2)",1,0,0,1
"(30, 2)",0,1,1,0
"(31, 2)",0,1,0,1
"(32, 2)",0,1,1,0
"(33, 2)",1,0,0,1
"(34, 2)",1,0,1,0
"(35, 2)",0,1,0,1
"(36, 2)",0,1,1,0
"(37, 2)",1,1,0,0
"(38, 2)",1,1,0,0
"(39, 2)",0,1,0,1
"(40, 2)",1,0,1,0
"(1, 3)",1,0,0,0
"(2, 3)",1,0,0,1
"(3, 3)",0,0,1,1
"(4, 3)",1,0,1,1
"(5, 3)",1,0,1,1
"(6, 3)",0,0,1,0
"(7, 3)",0,1,0,1
"(8, 3)",1,0,1,0
"(9, 3)",1,1,0,0
"(10, 3)",1,1,0,0
"(11, 3)",1,0,0,1
"(12, 3)",0,0,1,1
"(13, 3)",0,1,1,1
"(14, 3)",0,0,1,1
"(15, 3)",0,0,1,1
"(16, 3)",1,0,1,0
"(17, 3)",1,1,0,0
"(18, 3)",1,0,0,1
"(19, 3)",0,1,1,0
"(20, 3)",0,1,0,0
"(21, 3)",1,0,0,1
"(22, 3)",0,0,1,1
"(23, 3)",0,1,1,0
"(24, 3)",1,1,0,0
"(25, 3)",1,0,0,1
"(26, 3)",1,1,1,0
"(27, 3)",0,0,0,1
"(28, 3)",0,0,1,1
"(29, 3)",0,1,1,1
"(30, 3)",0,0,1,1
"(31, 3)",0,0,1,1
"(32, 3)",1,0,1,0
"(33, 3)",1,1,0,0
"(34, 3)",0,1,0,1
