  cell  ,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",1,0,0,1
"(3, 1)",1,0,1,0
"(4, 1)",0,0,0,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,1
"(7, 1)",1,0,1,0
"(8, 1)",1,0,0,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",1,0,1,0
"(12, 1)",1,0,0,1
"(13, 1)",0,0,1,1
"(14, 1)",1,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",1,0,1,0
"(17, 1)",1,0,0,1
"(18, 1)",0,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,0
"(22, 1)",1,0,0,1
"(23, 1)",0,0,1,1
"(24, 1)",1,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",1,0,1,0
"(28, 1)",1,0,0,1
"(29, 1)",1,0,1,0
"(30, 1)",0,0,0,1
"(31, 1)",1,0,1,1
"(32, 1)",0,0,1,0
"(33, 1)",1,0,0,1
"(34, 1)",0,0,1,1
"(35, 1)",1,0,1,0
"(36, 1)",1,0,0,1
"(37, 1)",1,0,1,0
"(38, 1)",1,0,0,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,0
"(1, 2)",1,1,0,0
"(2, 2)",1,1,0,0
"(3, 2)",0,1,0,1
"(4, 2)",1,0,1,0
"(5, 2)",1,0,0,1
"(6, 2)",0,1,1,0
"(7, 2)",0,1,0,1
"(8, 2)",0,1,1,0
"(9, 2)",1,0,0,1
"(10, 2)",0,0,1,0
"(11, 2)",1,1,0,0
"(12, 2)",0,1,0,1
"(13, 2)",0,0,1,0
"(14, 2)",0,1,0,1
"(15, 2)",1,0,1,0
"(16, 2)",0,1,0,1
"(17, 2)",0,1,1,0
"(18, 2)",1,0,0,1
"(19, 2)",0,0,1,1
"(20, 2)",1,0,1,0
"(21, 2)",1,1,0,0
"(22, 2)",0,1,0,1
"(23, 2)",1,0,1,0
"(24, 2)",0,1,0,1
"(25, 2)",1,0,1,0
"(26, 2)",0,0,0,1
"(27, 2)",0,1,1,1
"(28, 2)",0,1,1,0
"(29, 2)",1,1,0,0
"(30, 2)",1,0,0,1
"(31, 2)",0,1,1,0
"(32, 2)",1,0,0,1
"(33, 2)",0,1,1,1
"(34, 2)",0,0,1,0
"(35, 2)",1,1,0,0
"(36, 2)",1,1,0,0
"(37, 2)",0,1,0,1
"(38, 2)",0,1,1,1
"(39, 2)",0,0,1,0
"(40, 2)",1,1,0,0
"(1, 3)",1,1,0,0
"(2, 3)",1,1,0,0
"(3, 3)",1,0,0,0
"(4, 3)",1,1,0,0
"(5, 3)",0,1,0,1
"(6, 3)",1,0,1,0
"(7, 3)",1,0,0,1
"(8, 3)",0,0,1,0
"(9, 3)",1,1,0,1
"(10, 3)",1,0,1,0
"(11, 3)",0,1,0,1
"(12, 3)",0,0,1,1
"(13, 3)",0,0,1,1
"(14, 3)",1,0,1,0
"(15, 3)",1,1,0,0
"(16, 3)",1,0,0,1
"(17, 3)",0,0,1,1
