cell,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",1,0,1,0
"(4, 1)",0,0,0,1
"(5, 1)",1,0,1,1
"(6, 1)",1,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",0,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",1,0,1,0
"(15, 1)",0,0,0,1
"(16, 1)",0,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,0
"(1, 2)",0,0,0,1
"(2, 2)",1,0,1,0
"(3, 2)",0,1,0,1
"(4, 2)",1,0,1,0
"(5, 2)",0,1,0,0
"(6, 2)",1,1,0,0
"(7, 2)",1,0,0,1
"(8, 2)",0,0,1,1
"(9, 2)",0,0,1,1
"(10, 2)",1,0,1,0
"(11, 2)",0,0,0,1
"(12, 2)",1,0,1,1
"(13, 2)",0,0,1,0
"(14, 2)",0,1,0,1
"(15, 2)",1,0,1,0
"(16, 2)",1,0,0,1
"(17, 2)",1,0,1,0
"(18, 2)",1,1,0,0
"(19, 2)",1,0,0,1
"(20, 2)",0,1,1,0
"(1, 3)",1,0,0,1
"(2, 3)",0,1,1,1
"(3, 3)",0,0,1,0
"(4, 3)",1,1,0,0
"(5, 3)",1,0,0,1
"(6, 3)",0,1,1,0
"(7, 3)",1,1,0,1
"(8, 3)",0,0,1,1
"(9, 3)",1,0,1,0
"(10, 3)",0,1,0,1
"(11, 3)",1,0,1,0
"(12, 3)",0,1,0,1
"(13, 3)",0,0,1,1
"(14, 3)",1,0,1,0
"(15, 3)",0,1,0,1
"(16, 3)",0,1,1,0
"(17, 3)",0,1,0,1
"(18, 3)",0,1,1,0
"(19, 3)",1,1,0,0
"(20, 3)",1,0,0,0
"(1, 4)",1,1,0,0
"(2, 4)",1,0,0,1
"(3, 4)",1,0,1,0
"(4, 4)",1,1,0,0
"(5, 4)",1,1,0,0
"(6, 4)",0,0,0,1
"(7, 4)",0,1,1,1
"(8, 4)",0,0,1,0
"(9, 4)",1,1,0,0
"(10, 4)",1,0,0,0
"(11, 4)",0,1,0,1
"(12, 4)",1,0,1,1
"(13, 4)",0,0,1,1
"(14, 4)",0,1,1,1
"(15, 4)",0,0,1,1
"(16, 4)",0,0,1,1
"(17, 4)",0,0,1,0
"(18, 4)",1,0,0,1
"(19, 4)",0,1,1,0
"(20, 4)",1,1,0,0
"(1, 5)",1,1,0,1
"(2, 5)",0,1,1,0
"(3, 5)",0,1,0,1
"(4, 5)",0,1,1,0
"(5, 5)",0,1,0,1
"(6, 5)",0,0,1,1
"(7, 5)",1,0,1,0
"(8, 5)",1,0,0,1
"(9, 5)",0,1,1,0
"(10, 5)",1,1,0,1
"(11, 5)",0,0,1,1
"(12, 5)",0,1,1,0
"(13, 5)",1,0,0,1
"(14, 5)",0,0,1,1
"(15, 5)",0,0,1,1
"(16, 5)",0,0,1,1
"(17, 5)",0,0,1,1
"(18, 5)",0,1,1,0
"(19, 5)",0,0,0,1
"(20, 5)",1,1,1,0
"(1, 6)",1,1,0,0
"(2, 6)",1,0,0,1
"(3, 6)",0,0,1,1
"(4, 6)",0,0,1,1
"(5, 6)",0,0,1,1
"(6, 6)",0,0,1,1
"(7, 6)",0,1,1,0
"(8, 6)",1,1,0,0
"(9, 6)",1,0,0,1
"(10, 6)",0,1,1,0
"(11, 6)",1,0,0,1
"(12, 6)",0,0,1,1
"(13, 6)",0,1,1,0
"(14, 6)",0,0,0,1
"(15, 6)",0,0,1,1
"(16, 6)",0,0,1,1
"(17, 6)",1,0,1,1
"(18, 6)",0,0,1,1
"(19, 6)",0,0,1,1
"(20, 6)",1,1,1,0
"(1, 7)",0,1,0,1
"(2, 7)",0,1,1,0
"(3, 7)",1,0,0,0
"(4, 7)",1,0,0,1
"(5, 7)",0,0,1,1
"(6, 7)",0,0,1,1
"(7, 7)",0,0,1,1
"(8, 7)",1,1,1,0
"(9, 7)",0,1,0,0
"(10, 7)",1,0,0,1
"(11, 7)",0,1,1,0
"(12, 7)",0,0,0,1
"(13, 7)",1,0,1,1
"(14, 7)",0,0,1,1
"(15, 7)",0,0,1,1
"(16, 7)",1,0,1,0
"(17, 7)",0,1,0,1
"(18, 7)",1,0,1,0
"(19, 7)",1,0,0,0
"(20, 7)",1,1,0,0
"(1, 8)",1,0,0,1
"(2, 8)",0,0,1,1
"(3, 8)",1,1,1,0
"(4, 8)",1,1,0,0
"(5, 8)",1,0,0,1
"(6, 8)",0,0,1,1
"(7, 8)",0,0,1,1
"(8, 8)",0,1,1,0
"(9, 8)",1,0,0,1
"(10, 8)",0,1,1,0
"(11, 8)",1,0,0,1
"(12, 8)",0,0,1,1
"(13, 8)",0,1,1,0
"(14, 8)",1,0,0,1
"(15, 8)",1,0,1,0
"(16, 8)",1,1,0,0
"(17, 8)",1,0,0,1
"(18, 8)",0,1,1,0
"(19, 8)",1,1,0,1
"(20, 8)",0,1,1,0
"(1, 9)",0,1,0,1
"(2, 9)",0,0,1,0
"(3, 9)",1,1,0,0
"(4, 9)",1,1,0,0
"(5, 9)",0,1,0,1
"(6, 9)",0,0,1,1
"(7, 9)",0,0,1,1
"(8, 9)",0,0,1,1
"(9, 9)",0,1,1,0
"(10, 9)",0,0,0,1
"(11, 9)",1,1,1,0
"(12, 9)",1,0,0,0
