cell,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",1,0,0,1
"(3, 1)",0,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,0
"(6, 1)",0,0,0,1
"(7, 1)",1,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",1,0,1,0
"(11, 1)",1,0,0,1
"(12, 1)",0,0,1,1
"(13, 1)",1,0,1,0
"(14, 1)",0,0,0,1
"(15, 1)",1,0,1,1
"(16, 1)",0,0,1,0
"(17, 1)",1,0,0,1
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,1
"(20, 1)",0,0,1,0
"(1, 2)",0,1,0,1
"(2, 2)",0,1,1,0
"(3, 2)",1,0,0,1
"(4, 2)",0,0,1,0
"(5, 2)",0,1,0,1
"(6, 2)",1,0,1,0
"(7, 2)",1,1,0,0
"(8, 2)",1,0,0,1
"(9, 2)",1,0,1,0
"(10, 2)",1,1,0,0
"(11, 2)",0,1,0,1
"(12, 2)",1,0,1,0
"(13, 2)",0,1,0,1
"(14, 2)",0,0,1,1
"(15, 2)",0,1,1,0
"(16, 2)",1,0,0,1
"(17, 2)",0,1,1,0
"(18, 2)",1,0,0,0
"(19, 2)",0,1,0,1
"(20, 2)",1,0,1,0
"(1, 3)",1,0,0,1
"(2, 3)",0,0,1,1
"(3, 3)",0,1,1,1
"(4, 3)",1,0,1,1
"(5, 3)",1,0,1,0
"(6, 3)",1,1,0,0
"(7, 3)",1,1,0,0
"(8, 3)",0,1,0,0
"(9, 3)",0,1,0,1
"(10, 3)",0,1,1,1
"(11, 3)",1,0,1,0
"(12, 3)",0,1,0,1
"(13, 3)",0,0,1,1
"(14, 3)",0,0,1,1
"(15, 3)",0,0,1,1
"(16, 3)",0,1,1,1
"(17, 3)",1,0,1,0
"(18, 3)",1,1,0,0
"(19, 3)",1,0,0,1
"(20, 3)",1,1,1,0
"(1, 4)",0,1,0,0
"(2, 4)",1,0,0,1
"(3, 4)",0,0,1,1
"(4, 4)",0,1,1,0
"(5, 4)",0,1,0,0
"(6, 4)",1,1,0,0
"(7, 4)",1,1,0,1
"(8, 4)",0,0,1,1
"(9, 4)",1,0,1,0
"(10, 4)",1,0,0,0
"(11, 4)",1,1,0,0
"(12, 4)",1,0,0,1
"(13, 4)",0,0,1,1
"(14, 4)",0,0,1,1
"(15, 4)",0,0,1,1
"(16, 4)",1,0,1,0
"(17, 4)",0,1,0,1
"(18, 4)",0,1,1,0
"(19, 4)",1,1,0,0
"(20, 4)",1,1,0,0
"(1, 5)",1,0,0,1
"(2, 5)",0,1,1,0
"(3, 5)",1,0,0,1
"(4, 5)",0,0,1,1
"(5, 5)",0,0,1,1
"(6, 5)",0,1,1,0
"(7, 5)",1,1,0,0
"(8, 5)",1,0,0,1
"(9, 5)",0,1,1,0
"(10, 5)",1,1,0,0
"(11, 5)",1,1,0,0
"(12, 5)",1,1,0,0
"(13, 5)",0,0,0,1
"(14, 5)",1,0,1,1
"(15, 5)",0,0,1,1
"(16, 5)",0,1,1,1
"(17, 5)",0,0,1,1
