cell,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",0,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,0
"(6, 1)",1,0,0,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",0,0,1,0
"(12, 1)",1,0,0,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",1,0,1,0
"(16, 1)",1,0,0,1
"(17, 1)",0,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",0,0,1,1
"(3, 2)",0,0,1,1
"(4, 2)",0,0,1,0
"(5, 2)",1,1,0,0
"(6, 2)",1,1,0,1
"(7, 2)",0,0,1,1
"(8, 2)",0,0,1,1
"(9, 2)",1,0,1,0
"(10, 2)",1,0,0,1
"(11, 2)",0,0,1,1
"(12, 2)",0,1,1,0
"(13, 2)",0,0,0,1
"(14, 2)",1,0,1,0
"(15, 2)",0,1,0,1
"(16, 2)",0,1,1,0
"(17, 2)",1,0,0,1
"(18, 2)",1,0,1,1
"(19, 2)",0,0,1,0
"(20, 2)",1,1,0,0
"(1, 3)",0,1,0,1
"(2, 3)",1,0,1,0
"(3, 3)",1,0,0,1
"(4, 3)",0,0,1,1
"(5, 3)",0,1,1,0
"(6, 3)",1,1,0,0
"(7, 3)",0,0,0,1
"(8, 3)",1,0,1,0
"(9, 3)",0,1,0,1
"(10, 3)",0,1,1,0
"(11, 3)",1,0,0,1
"(12, 3)",0,0,1,1
"(13, 3)",1,0,1,1
"(14, 3)",0,1,1,1
"(15, 3)",0,0,1,1
"(16, 3)",1,0,1,0
"(17, 3)",1,1,0,0
"(18, 3)",1,1,0,0
"(19, 3)",1,0,0,1
"(20, 3)",1,1,1,0
"(1, 4)",1,0,0,1
"(2, 4)",0,1,1,0
"(3, 4)",1,1,0,0
"(4, 4)",1,0,0,1
"(5, 4)",1,0,1,0
"(6, 4)",0,1,0,1
"(7, 4)",0,0,1,1
"(8, 4)",1,1,1,0
"(9, 4)",0,0,0,1
"(10, 4)",1,0,1,1
"(11, 4)",0,1,1,0
"(12, 4)",1,0,0,1
"(13, 4)",0,1,1,0
"(14, 4)",1,0,0,1
"(15, 4)",1,0,1,0
"(16, 4)",0,1,0,1
"(17, 4)",1,1,1,0
"(18, 4)",0,1,0,0
"(19, 4)",1,1,0,0
"(20, 4)",1,1,0,0
"(1, 5)",1,1,0,1
"(2, 5)",1,0,1,0
"(3, 5)",1,1,0,0
"(4, 5)",1,1,0,0
"(5, 5)",0,1,0,1
"(6, 5)",0,0,1,1
"(7, 5)",0,0,1,0
"(8, 5)",0,1,0,1
"(9, 5)",1,0,1,0
"(10, 5)",0,1,0,1
"(11, 5)",0,0,1,0
"(12, 5)",0,1,0,1
"(13, 5)",1,0,1,0
"(14, 5)",1,1,0,0
"(15, 5)",0,1,0,1
"(16, 5)",0,0,1,1
"(17, 5)",0,1,1,0
"(18, 5)",1,0,0,1
"(19, 5)",0,1,1,0
"(20, 5)",1,1,0,0
"(1, 6)",1,1,0,0
"(2, 6)",0,1,0,1
"(3, 6)",0,1,1,0
"(4, 6)",1,1,0,1
"(5, 6)",0,0,1,1
"(6, 6)",0,0,1,1
"(7, 6)",0,0,1,1
"(8, 6)",1,0,1,0
"(9, 6)",1,1,0,0
"(10, 6)",1,0,0,1
"(11, 6)",0,0,1,1
"(12, 6)",1,0,1,0
"(13, 6)",1,1,0,0
"(14, 6)",1,1,0,0
"(15, 6)",1,0,0,1
"(16, 6)",1,0,1,1
"(17, 6)",0,0,1,0
"(18, 6)",0,1,0,1
"(19, 6)",1,0,1,0
"(20, 6)",0,1,0,0
"(1, 7)",0,1,0,1
"(2, 7)",0,0,1,1
"(3, 7)",1,0,1,0
"(4, 7)",1,1,0,0
"(5, 7)",0,0,0,1
"(6, 7)",0,0,1,1
"(7, 7)",1,0,1,0
"(8, 7)",1,1,0,0
"(9, 7)",0,1,0,1
"(10, 7)",0,1,1,0
"(11, 7)",1,0,0,1
"(12, 7)",0,1,1,1
"(13, 7)",0,1,1,0
"(14, 7)",0,1,0,1
"(15, 7)",0,1,1,0
"(16, 7)",0,1,0,0
"(17, 7)",1,0,0,1
"(18, 7)",1,0,1,0
"(19, 7)",1,1,0,1
"(20, 7)",1,0,1,0
"(1, 8)",1,0,0,1
"(2, 8)",0,0,1,0
"(3, 8)",1,1,0,0
"(4, 8)",0,1,0,1
"(5, 8)",0,0,1,1
"(6, 8)",0,0,1,1
"(7, 8)",0,1,1,0
"(8, 8)",1,1,0,1
"(9, 8)",0,0,1,1
"(10, 8)",0,0,1,0
"(11, 8)",0,1,0,1
"(12, 8)",1,0,1,0
"(13, 8)",1,0,0,1
"(14, 8)",1,0,1,1
"(15, 8)",0,0,1,1
"(16, 8)",0,0,1,1
"(17, 8)",0,1,1,0
"(18, 8)",1,1,0,0
"(19, 8)",0,1,0,0
"(20, 8)",1,1,0,0
"(1, 9)",1,1,0,0
"(2, 9)",1,0,0,1
"(3, 9)",0,1,1,0
"(4, 9)",1,0,0,1
"(5, 9)",0,0,1,1
"(6, 9)",1,0,1,0
"(7, 9)",1,0,0,1
"(8, 9)",1,1,1,0
"(9, 9)",1,0,0,1
"(10, 9)",0,0,1,1
"(11, 9)",1,0,1,0
"(12, 9)",1,1,0,0
